mark_id,student_id,subject_id,date,mark
1,1,1,2010-06-10,8.75
2,1,2,2010-07-20,6.50
3,1,3,2011-06-12,9.00
4,1,4,2011-07-15,7.25
5,1,5,2012-06-14,8.50
6,1,6,2012-07-18,7.75
7,1,7,2013-06-11,9.25
8,1,8,2013-07-22,8.00
9,1,9,2014-06-13,7.50
10,1,10,2014-07-19,8.25
11,1,11,2015-06-10,9.00
12,1,12,2015-07-20,8.75
13,1,13,2016-06-12,9.50
14,1,14,2016-07-15,8.25
15,1,15,2017-06-14,9.75
16,2,1,2010-06-11,7.50
17,2,2,2010-07-21,6.25
18,2,3,2011-06-13,8.50
19,2,4,2011-07-16,7.00
20,2,5,2012-06-15,8.00
21,2,6,2012-07-19,7.50
22,2,7,2013-06-12,9.00
23,2,8,2013-07-23,8.25
24,2,9,2014-06-14,7.75
25,2,10,2014-07-20,8.50
26,2,11,2015-06-11,9.25
27,2,12,2015-07-21,8.50
28,2,13,2016-06-13,9.75
29,2,14,2016-07-16,8.00
30,2,15,2017-06-15,9.50
31,3,1,2011-06-10,8.00
32,3,2,2011-07-20,7.25
33,3,3,2012-06-12,8.50
34,3,4,2012-07-15,7.75
35,3,5,2013-06-14,9.00
36,3,6,2013-07-18,8.25
37,3,7,2014-06-11,7.50
38,3,8,2014-07-22,8.75
39,3,9,2015-06-13,9.25
40,3,10,2015-07-19,8.50
41,3,11,2016-06-10,9.00
42,3,12,2016-07-20,8.75
43,3,13,2017-06-12,9.50
44,3,14,2017-07-15,8.25
45,3,15,2018-06-14,9.75
46,4,1,2011-06-11,7.50
47,4,2,2011-07-21,6.25
48,4,3,2012-06-13,8.50
49,4,4,2012-07-16,7.00
50,4,5,2013-06-15,8.00
51,4,6,2013-07-19,7.50
52,4,7,2014-06-12,9.00
53,4,8,2014-07-23,8.25
54,4,9,2015-06-14,7.75
55,4,10,2015-07-20,8.50
56,4,11,2016-06-11,9.25
57,4,12,2016-07-21,8.50
58,4,13,2017-06-13,9.75
59,4,14,2017-07-16,8.00
60,4,15,2018-06-15,9.50
61,5,1,2012-06-12,8.50
62,5,2,2012-07-18,7.75
63,5,3,2013-06-10,9.25
64,5,4,2013-07-22,8.00
65,5,5,2014-06-13,7.50
66,5,6,2014-07-19,8.25
67,5,7,2015-06-11,9.00
68,5,8,2015-07-20,8.75
69,5,9,2016-06-12,9.50
70,5,10,2016-07-15,8.25
71,5,11,2017-06-14,9.75
72,6,1,2012-06-11,7.50
73,6,2,2012-07-21,6.25
74,6,3,2013-06-13,8.50
75,6,4,2013-07-16,7.00
76,6,5,2014-06-15,8.00
77,6,6,2014-07-19,7.50
78,6,7,2015-06-12,9.00
79,6,8,2015-07-23,8.25
80,6,9,2016-06-14,7.75
81,6,10,2016-07-20,8.50
82,6,11,2017-06-11,9.25
83,6,12,2017-07-21,8.50
84,6,13,2018-06-13,9.75
85,6,14,2018-07-16,8.00
86,6,15,2019-06-15,9.50
87,7,1,2013-06-10,8.00
88,7,2,2013-07-20,7.25
89,7,3,2014-06-12,8.50
90,7,4,2014-07-15,7.75
91,7,5,2015-06-14,9.00
92,7,6,2015-07-18,8.25
93,7,7,2016-06-11,7.50
94,7,8,2016-07-22,8.75
95,7,9,2017-06-13,9.25
